id,institution,sex,age,year,cycle,field,income,genai_freq,use_writing,use_summarising,use_brainstorm,use_translation,use_coding,use_explaining,use_questions,use_homework,anx1,anx2,anx3,anx4,anx5,anxiety,se1,se2,se3,se4,se5,se6,se7,se8,selfeff,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,engage,who_i1,who_i2,who_i3,who_i4,who_i5,who5
R0017,IPC,M,25,1,MSc,Health,4,3,0,1,0,1,0,0,0,0,7,5,7,7,6,5.42,5,6,5,3,5,6,4,6,4.61,6,5,5,4,6,4,6,5,4,4.76,2,0,1,2,1,20
R0018,IPC,F,25,1,BSc,Health,3,2,1,0,0,0,1,0,0,0,2,1,3,1,1,2.24,4,5,6,6,7,7,6,6,5.53,6,4,4,4,6,4,6,5,4,4.89,3,4,4,4,4,75
R0019,UC,M,19,5,BSc,STEM,4,5,1,1,1,1,0,0,0,0,5,7,6,6,6,6.1,5,4,4,6,6,4,6,4,4.85,4,4,3,5,4,4,4,2,4,4.03,1,1,3,2,1,46
R0020,UC,O,19,5,BSc,STEM,3,5,1,1,0,1,0,0,1,0,3,4,4,4,4,3.55,5,4,7,6,3,6,5,7,5.51,6,4,4,5,5,3,4,6,5,4.54,3,3,3,2,3,52
R0021,IPC,F,18,3,MSc,Health,4,3,0,0,0,1,0,0,0,0,6,6,7,4,6,5.72,4,2,4,4,3,2,5,2,3.81,3,5,5,4,4,4,3,6,6,3.93,2,3,2,4,3,51
R0022,UC,M,19,1,Other,Health,4,4,1,0,1,1,0,1,0,0,2,1,1,2,2,2.3,5,5,5,6,6,5,5,6,5.33,5,7,5,4,7,6,4,4,4,4.79,4,4,4,1,3,60
R0023,UC,M,25,4,BSc,SocSci,3,4,1,1,1,1,1,0,1,1,4,6,4,4,4,4.42,4,4,5,4,3,5,4,5,4.27,4,4,6,5,4,6,5,4,5,4.6,2,2,1,2,2,47
R0024,UC,F,19,1,MSc,STEM,4,5,1,1,1,1,0,1,0,1,2,3,3,3,4,2.88,3,4,4,4,3,4,4,3,3.76,7,6,4,5,7,6,4,6,7,5.82,3,2,4,3,4,56
R0025,IPP,F,19,1,BSc,STEM,3,5,1,1,1,1,0,1,1,0,5,4,5,3,6,3.95,5,3,5,6,7,5,4,5,5.17,2,2,3,3,3,3,5,2,3,3.38,2,2,2,1,2,31
R0026,IPP,F,19,4,BSc,STEM,4,5,1,1,0,0,1,1,1,1,6,7,7,7,6,7.0,4,5,3,5,2,4,4,4,3.86,4,5,3,4,3,5,4,3,3,3.64,3,2,1,4,5,67
R0027,UC,F,18,3,BSc,SocSci,3,3,0,1,0,1,0,0,1,0,3,5,6,5,3,4.44,7,6,7,7,7,5,7,6,6.35,7,6,5,7,4,5,5,6,6,5.65,4,3,4,3,4,76
R0028,IPC,M,19,2,BSc,Health,4,4,1,1,0,0,0,1,0,1,6,6,5,5,4,4.4,5,5,3,5,4,3,6,4,4.76,3,6,4,5,6,5,5,7,4,4.88,3,2,2,2,4,54
R0029,UC,F,25,3,MSc,Health,4,4,1,1,1,0,0,1,1,0,2,2,4,2,5,3.55,6,7,5,7,5,5,5,7,6.2,7,5,6,3,6,7,6,6,6,5.61,1,3,0,4,2,47
R0030,IPC,M,25,2,BSc,Arts,4,4,0,1,1,1,1,1,1,0,2,2,3,5,1,2.93,4,3,4,6,6,6,6,3,5.3,5,5,5,3,4,5,5,4,6,4.55,5,3,5,5,5,97
R0031,IPV,M,19,1,BSc,Health,4,1,0,0,0,0,0,0,0,0,5,4,5,6,4,4.9,5,5,2,6,6,7,6,5,4.34,4,5,4,4,6,3,4,5,5,5.09,2,3,1,4,4,53
R0032,IPC,F,25,1,BSc,Health,3,5,1,1,0,1,0,0,0,0,4,6,3,5,5,4.21,5,4,6,5,6,5,6,5,5.06,5,5,3,3,5,4,4,6,5,4.26,2,2,4,3,2,51
R0033,IPV,F,25,1,BSc,STEM,3,5,1,1,1,0,1,1,1,0,7,7,3,5,6,5.37,3,3,3,2,2,3,2,3,3.28,2,2,2,4,4,2,2,4,3,2.53,3,2,1,3,1,44
R0034,UC,M,25,2,BSc,Arts,4,4,0,1,0,1,0,1,0,0,3,4,6,5,3,3.48,6,5,7,6,6,5,6,7,6.03,6,4,4,5,3,6,4,5,3,4.66,3,3,2,1,2,41
R0035,UC,F,18,1,MSc,STEM,2,4,0,1,0,1,1,0,0,0,3,1,5,4,5,4.1,4,4,3,6,6,6,6,5,4.98,7,7,5,3,7,5,7,5,7,5.89,2,5,3,4,2,65
R0036,UC,F,19,1,BSc,Health,5,4,1,1,0,1,0,0,0,1,4,7,6,7,5,6.09,4,3,3,4,3,4,7,3,3.84,2,4,3,5,2,5,4,4,1,3.74,2,4,4,3,2,59
R0037,UC,M,25,3,BSc,STEM,3,4,1,1,1,1,1,0,1,0,5,3,2,4,1,4.1,4,6,5,6,6,6,4,6,5.23,4,6,4,6,5,2,3,3,5,4.41,5,3,4,5,3,80
R0038,IPC,F,19,3,MSc,STEM,3,3,1,0,0,0,0,0,0,0,2,1,2,1,4,1.89,6,7,3,4,5,5,5,4,5.28,4,5,7,6,6,6,5,6,6,5.61,4,5,1,4,4,67
R0039,IPP,F,19,2,BSc,STEM,3,4,0,1,1,0,0,1,0,1,7,6,5,2,2,4.13,4,4,5,6,6,5,5,6,5.01,1,2,2,1,2,2,2,1,1,1.47,3,3,2,2,2,49
R0040,UC,M,18,1,BSc,STEM,4,1,0,0,0,0,0,0,0,0,2,3,3,4,3,3.09,5,3,3,3,5,7,4,5,4.9,3,5,5,3,3,3,3,4,3,3.37,2,4,4,2,3,71
R0041,IPV,F,25,1,BSc,STEM,3,5,1,0,1,0,0,1,1,0,6,3,5,5,6,5.01,5,6,3,5,7,5,6,4,4.88,4,6,6,3,6,5,5,6,4,5.16,2,3,3,4,3,61
R0042,UC,F,18,1,MSc,STEM,2,4,0,1,0,1,0,1,0,0,4,5,6,6,5,5.19,2,3,3,1,4,3,3,3,2.25,1,2,1,2,1,3,2,1,4,1.54,2,3,2,2,3,32
R0043,UC,M,19,3,BSc,SocSci,3,4,0,1,1,0,0,0,0,0,7,4,3,4,5,4.6,7,6,4,7,5,5,7,6,5.77,7,7,7,6,5,6,7,7,6,6.69,2,3,3,2,3,45
R0044,UC,F,19,5,MSc,Arts,4,4,1,0,1,0,0,1,1,0,6,4,7,7,3,4.9,7,6,6,6,6,7,3,5,5.61,5,5,6,5,4,4,4,5,4,4.29,4,4,3,3,4,58
R0045,IPP,M,18,3,MSc,SocSci,3,4,1,1,1,0,0,0,0,0,4,5,4,3,1,3.89,5,5,5,6,5,5,5,7,5.14,3,5,5,5,5,5,5,5,5,4.6,3,2,3,4,1,51
R0046,UC,M,28,2,BSc,Health,2,4,1,1,0,1,0,1,0,0,6,5,7,7,7,6.67,2,3,2,3,3,1,3,3,2.68,1,2,1,2,1,3,1,1,2,1.24,1,4,5,3,2,59
R0047,IPC,M,19,2,BSc,Health,3,3,1,0,0,0,0,0,0,0,7,7,6,7,6,7.0,4,3,3,4,2,3,4,5,3.59,1,1,1,3,2,2,1,1,1,1.0,2,1,1,3,3,31
R0048,IPC,M,28,2,BSc,STEM,3,5,1,1,1,1,0,0,1,1,4,4,6,5,7,5.61,4,6,3,1,1,3,5,3,3.75,3,4,3,4,3,4,5,2,5,2.8,0,1,2,1,0,19
R0049,IPP,M,19,1,BSc,STEM,4,4,1,1,1,0,1,1,0,0,6,4,6,4,4,4.92,5,6,5,7,6,4,6,6,5.73,6,6,7,5,4,7,5,6,7,5.93,2,1,3,4,2,52
R0050,IPP,M,19,4,BSc,STEM,2,4,1,1,1,1,0,1,0,0,3,1,4,3,5,4.08,5,5,7,4,4,7,6,5,5.2,4,3,5,4,3,4,2,4,4,3.4,4,5,5,3,5,90
R0051,UC,F,28,1,BSc,Health,2,4,1,0,1,1,1,0,1,0,2,3,2,2,4,3.08,2,4,3,5,4,2,3,4,3.51,3,2,2,2,3,2,2,2,3,2.98,2,1,1,0,0,10
R0052,IPV,M,19,1,MSc,STEM,2,4,0,1,0,1,0,0,1,0,4,6,6,3,6,5.45,3,3,4,3,3,3,6,2,4.31,5,3,4,4,4,3,3,2,4,3.46,3,2,2,3,1,35
R0053,IPC,F,28,4,BSc,STEM,2,4,1,1,1,0,1,1,0,0,3,5,1,2,3,2.7,5,4,6,5,4,5,5,4,4.7,2,3,4,3,4,1,4,4,4,4.29,3,3,4,3,3,71
R0054,UC,M,18,5,BSc,Arts,5,5,1,1,1,1,0,0,0,0,5,5,6,3,5,5.63,7,4,5,6,5,6,6,6,5.4,7,5,5,5,3,6,5,4,6,4.96,3,4,2,3,2,44
R0055,IPC,M,19,1,Other,STEM,2,3,1,1,0,0,0,0,0,0,3,3,3,3,1,3.11,5,4,6,5,5,4,6,7,5.69,4,6,5,6,4,6,5,6,3,4.83,4,4,3,4,5,81
R0056,IPC,F,18,2,MSc,SocSci,3,5,1,1,1,0,1,0,1,0,3,5,1,2,4,3.62,5,6,4,5,3,4,5,5,4.58,4,7,5,6,6,4,6,5,6,4.99,5,3,4,5,2,71
R0057,UC,M,19,3,BSc,Arts,4,4,1,1,1,1,0,1,0,0,2,4,2,4,3,3.01,7,7,7,7,7,6,6,7,6.69,4,4,6,4,2,3,3,5,5,3.61,3,3,3,3,4,68
R0058,IPC,F,27,2,BSc,Health,2,4,1,0,0,0,1,0,0,0,4,5,5,4,2,4.78,3,4,4,2,4,6,4,4,4.04,7,4,4,5,4,6,5,4,3,3.83,4,2,2,2,3,44
R0059,IPP,F,18,4,BSc,STEM,3,5,1,0,0,0,0,1,0,0,1,2,1,2,3,1.65,4,4,6,4,6,6,4,7,4.91,4,7,5,3,4,3,5,2,5,4.96,3,4,4,3,3,64
R0060,UC,F,26,3,BSc,STEM,4,3,0,1,0,1,0,0,1,0,2,2,2,1,2,2.43,3,4,5,6,2,4,4,3,4.44,5,4,5,4,2,6,4,2,2,3.81,4,4,5,5,5,76
R0061,UC,M,25,4,MSc,SocSci,3,4,0,0,0,1,0,1,1,0,2,3,3,2,3,2.96,5,7,6,4,6,6,6,7,5.49,4,5,5,6,4,6,6,6,5,5.26,3,4,3,4,5,72
R0062,UC,F,30,1,BSc,STEM,3,3,1,1,0,0,0,1,0,0,6,4,5,6,5,4.65,4,4,2,2,3,2,3,3,3.27,4,4,3,3,2,5,6,4,5,4.19,3,3,3,4,3,58
R0063,UC,M,19,2,MSc,STEM,3,4,1,0,0,1,0,1,0,0,4,2,4,4,2,2.79,4,6,7,6,7,6,7,5,7.0,7,7,6,4,7,6,7,5,6,5.98,3,5,4,4,3,81
R0064,IPC,F,25,2,BSc,STEM,3,5,1,1,1,1,0,0,1,1,6,5,6,7,4,6.24,3,3,3,4,3,2,2,2,3.09,3,4,4,1,4,3,2,3,3,2.65,0,3,3,2,1,31
R0065,UC,F,28,4,BSc,STEM,4,5,1,1,1,0,0,0,0,1,6,5,5,5,6,5.34,5,3,7,4,5,4,3,4,5.18,5,5,4,3,5,3,4,5,6,4.75,2,3,1,2,2,39
R0066,UC,F,19,2,BSc,Arts,5,4,1,0,1,0,0,1,0,0,3,4,4,3,1,3.53,7,7,6,4,6,6,7,5,5.97,6,4,5,7,5,5,3,4,6,4.73,4,5,4,4,4,85
R0067,IPV,F,25,2,BSc,Arts,3,5,1,0,1,0,0,0,0,0,6,7,7,4,5,5.98,5,3,6,6,5,5,4,6,5.27,5,3,4,4,4,3,4,3,4,3.87,2,1,4,1,2,23
R0068,IPV,F,27,2,BSc,STEM,4,5,1,0,1,1,0,1,1,0,4,4,4,4,5,3.77,6,6,6,6,4,5,4,6,5.19,3,3,3,4,4,2,2,3,2,2.96,2,3,2,0,2,42
R0069,UC,M,27,1,BSc,SocSci,3,4,1,1,1,0,0,0,0,1,3,3,1,1,2,2.32,7,6,6,5,4,5,6,5,5.39,7,6,5,6,3,4,5,5,4,4.45,4,4,2,3,2,38
R0070,IPV,F,25,1,MSc,Health,3,5,1,0,1,0,1,0,0,0,4,2,4,4,4,4.23,7,3,7,7,5,7,7,5,5.99,3,4,5,5,7,6,7,3,7,5.38,3,2,3,2,2,46
R0071,IPV,M,18,3,BSc,STEM,2,3,1,1,0,0,1,0,0,0,2,3,4,3,3,2.92,4,4,6,4,4,3,7,3,3.78,4,4,2,5,4,4,2,2,5,3.64,3,1,3,1,2,47
R0072,IPV,F,19,1,BSc,Arts,3,5,1,1,1,0,0,0,0,1,5,5,7,7,6,6.6,4,3,5,4,4,4,4,5,3.95,4,4,3,4,4,5,4,3,6,4.25,2,2,1,3,2,32
R0073,UC,F,19,3,BSc,SocSci,3,4,1,0,1,1,1,0,1,0,5,3,6,1,4,3.03,7,5,7,7,6,6,7,7,7.0,6,6,7,6,7,7,5,6,6,5.75,3,2,1,2,5,61
R0074,UC,F,28,4,BSc,SocSci,3,3,0,0,0,0,0,0,0,1,5,6,5,4,3,2.71,5,5,6,4,6,6,6,7,5.54,5,6,7,6,5,6,6,7,7,5.9,2,3,2,4,5,67
R0075,IPV,M,25,2,BSc,STEM,2,4,1,1,1,0,0,0,1,0,3,6,4,4,4,4.83,2,2,1,1,1,2,1,1,1.28,1,3,3,1,1,3,1,3,4,2.45,1,3,2,2,3,31
R0076,UC,M,25,1,MSc,SocSci,4,4,0,0,1,0,1,0,0,0,4,5,2,2,2,2.23,5,5,7,7,5,7,7,6,5.72,5,7,5,4,6,6,5,5,6,5.58,4,4,4,4,4,78
R0077,UC,F,25,1,MSc,STEM,4,4,0,0,1,1,0,1,1,0,1,1,5,3,2,2.32,5,7,7,5,6,7,7,6,5.98,5,6,7,7,5,7,7,7,7,6.37,4,3,3,3,3,54
R0078,IPP,F,19,3,BSc,STEM,3,4,1,0,1,1,0,0,0,1,4,4,4,3,2,2.59,5,5,4,6,6,7,5,6,5.34,6,5,5,6,5,6,7,4,2,4.98,4,2,2,1,3,70
R0079,IPC,M,25,5,MSc,STEM,3,4,1,1,0,0,1,1,0,0,6,7,5,7,7,5.8,1,3,1,2,5,3,1,3,2.43,2,3,1,3,2,2,3,2,2,2.63,1,1,1,1,2,26
R0080,IPV,F,18,1,MSc,SocSci,3,3,0,0,1,0,0,1,0,0,4,4,7,4,5,3.86,2,4,2,6,5,5,3,5,4.2,7,6,6,7,7,6,7,6,4,6.12,3,3,2,3,2,75
R0081,UC,F,30,1,BSc,SocSci,3,4,1,0,1,1,1,0,1,0,3,5,4,4,3,2.87,5,6,6,3,6,5,7,7,5.93,3,6,4,5,4,5,4,5,5,4.12,5,3,3,3,5,66
R0082,IPV,F,19,3,MSc,STEM,3,4,1,0,1,0,0,1,1,1,4,6,4,5,2,4.82,6,3,4,5,5,4,5,7,5.07,6,4,5,4,2,2,4,5,5,3.57,3,2,3,1,3,45
R0083,UC,F,25,3,BSc,STEM,4,4,1,1,1,1,0,0,0,0,4,2,3,2,4,3.12,4,6,4,6,5,6,3,5,5.38,4,3,5,6,5,6,6,6,3,4.41,0,2,3,2,2,50
R0084,IPP,F,28,3,BSc,STEM,4,5,1,1,0,1,1,0,0,1,5,5,4,3,5,3.92,3,5,7,5,5,5,5,6,5.48,3,4,6,6,5,5,7,4,4,4.7,4,3,3,2,3,59
R0085,UC,F,25,2,BSc,STEM,3,4,0,0,0,0,0,1,1,0,2,5,3,3,2,3.24,4,5,3,4,3,4,4,6,4.83,4,6,1,3,1,4,5,2,2,3.26,2,4,3,3,4,58
R0086,IPP,F,27,3,BSc,SocSci,2,4,1,1,1,1,0,0,0,0,7,5,3,5,5,4.7,6,5,6,5,5,6,6,5,5.01,7,6,5,7,6,6,7,6,7,6.23,1,3,4,5,3,70
R0087,IPP,M,25,2,MSc,Health,3,5,1,1,1,1,0,0,1,1,7,7,6,7,7,6.57,3,2,1,3,2,3,2,3,2.7,3,6,4,5,5,4,5,6,6,3.84,1,1,1,1,1,28
R0088,UC,F,25,1,BSc,Health,4,5,1,1,1,1,0,1,1,1,2,4,3,3,3,2.56,4,5,5,5,7,5,6,4,5.07,1,3,1,1,3,3,4,1,1,1.76,2,4,3,3,1,57
R0089,UC,M,25,5,MSc,SocSci,3,4,0,1,1,1,0,1,0,1,4,6,5,5,7,5.68,4,3,5,3,3,4,4,4,4.9,3,3,4,2,3,5,4,3,3,2.85,5,4,4,3,4,74
R0090,IPC,F,19,1,BSc,SocSci,4,5,1,0,1,1,1,1,0,1,3,5,3,4,3,4.28,5,4,6,6,5,5,7,7,5.44,4,3,5,6,5,6,5,5,4,4.69,3,3,3,4,3,64
R0091,IPC,M,19,2,MSc,STEM,4,5,1,0,0,0,1,0,0,0,5,4,3,1,3,2.86,4,3,6,6,4,5,5,5,4.75,4,3,3,3,3,4,4,4,3,3.16,4,4,5,5,4,93
R0092,IPC,F,25,4,MSc,SocSci,5,2,0,0,0,0,0,0,0,0,5,6,5,5,7,5.9,5,3,3,5,4,5,4,4,4.53,1,2,1,1,3,1,3,1,2,1.49,3,3,2,4,4,75
R0093,UC,F,19,2,BSc,SocSci,2,5,1,1,0,0,1,0,0,0,4,5,4,5,4,4.02,4,5,6,5,5,6,5,6,5.15,4,3,5,5,4,5,4,5,5,4.72,2,1,1,1,1,21
R0094,UC,M,19,2,BSc,STEM,4,3,1,0,0,0,1,1,0,0,2,1,4,2,6,3.2,5,5,6,5,2,3,4,4,3.75,3,4,5,2,4,2,6,2,4,3.68,3,5,4,3,3,67
R0095,IPP,F,25,4,MSc,STEM,2,5,1,1,1,1,0,1,1,0,2,7,3,5,7,4.32,4,4,5,3,4,5,4,5,4.65,7,7,7,6,5,6,5,5,4,6.16,3,1,2,2,1,43
R0096,IPV,F,18,2,BSc,SocSci,4,4,0,0,1,1,0,0,1,0,3,4,4,4,4,3.85,6,6,5,4,5,4,4,4,5.16,4,5,5,4,4,4,5,5,4,4.42,3,4,3,4,3,71
R0097,UC,M,26,1,MSc,STEM,3,4,1,0,1,1,1,0,0,1,4,7,5,6,7,5.87,7,5,7,4,7,4,7,3,5.37,7,3,6,5,6,7,7,5,5,5.6,3,5,3,2,3,59
R0098,IPV,F,19,2,BSc,SocSci,3,5,0,1,1,0,0,1,0,1,7,7,5,7,5,6.29,3,3,3,3,4,3,5,3,4.08,1,3,4,4,1,2,3,2,2,2.65,4,3,3,2,2,51
R0099,IPV,F,19,2,BSc,STEM,4,3,0,1,0,1,1,0,0,0,2,5,6,6,5,6.07,7,5,6,7,5,4,7,4,5.44,4,4,5,4,4,4,2,4,2,3.83,2,4,2,3,2,61
R0100,UC,M,30,2,BSc,SocSci,3,5,1,1,0,0,0,0,1,0,4,5,3,3,5,3.91,5,5,4,7,7,5,5,7,5.74,1,3,2,4,3,4,2,2,4,3.02,4,4,4,5,4,78
R0101,IPP,F,19,4,BSc,STEM,2,3,0,0,1,0,0,0,0,1,5,7,3,4,6,4.45,7,6,4,6,5,4,5,6,5.75,5,5,6,5,6,6,6,5,6,5.63,4,1,2,1,4,61
R0102,IPV,F,18,1,BSc,Health,4,4,0,0,0,1,0,1,0,1,4,3,5,6,4,4.56,6,6,5,4,4,5,3,6,4.54,4,4,6,4,4,5,2,5,4,4.6,4,2,2,4,2,55
R0103,UC,M,19,1,BSc,SocSci,3,1,0,0,0,0,0,0,0,0,3,2,2,1,5,2.32,7,5,4,6,6,6,6,6,5.95,4,4,3,3,4,4,4,5,4,4.13,4,5,2,2,5,77
R0104,IPC,M,25,2,MSc,Arts,2,2,0,0,0,0,0,0,0,0,4,3,6,6,7,5.92,4,4,3,5,4,3,4,4,3.54,2,3,4,5,4,4,3,3,5,3.15,2,1,4,3,1,45
R0105,IPP,F,27,1,BSc,SocSci,3,5,0,1,1,1,1,0,0,1,5,4,5,5,3,4.24,5,4,5,5,4,5,3,4,4.19,6,7,6,6,6,4,7,5,6,5.51,2,2,4,3,3,47
R0106,IPC,F,18,3,MSc,STEM,3,4,1,1,0,0,0,0,0,0,5,3,6,5,3,4.67,5,5,3,4,4,3,3,4,4.04,5,4,3,6,5,4,6,5,4,4.05,1,3,0,3,1,46
R0107,UC,M,27,4,BSc,Health,2,4,1,1,0,1,0,0,0,1,3,3,3,1,4,2.59,5,6,5,4,4,5,6,5,5.84,5,5,6,5,5,6,6,7,6,6.36,4,3,5,4,4,76
R0108,IPV,F,18,4,BSc,SocSci,2,2,0,0,0,0,0,0,0,0,7,4,4,4,4,4.81,5,3,3,4,3,4,4,3,4.13,6,4,4,6,4,4,6,4,5,3.71,1,1,1,2,1,30
R0109,UC,F,26,1,BSc,STEM,2,5,1,1,1,1,0,1,0,0,4,4,4,6,1,3.26,6,6,5,5,6,5,7,7,5.81,5,7,5,6,6,5,5,6,6,5.44,3,4,2,5,3,57
R0110,UC,M,25,1,MSc,STEM,4,5,0,1,0,1,0,0,0,0,5,3,5,6,5,4.57,3,3,5,4,3,3,5,1,3.32,3,5,3,3,3,3,3,3,5,3.11,1,1,1,2,2,38
R0111,IPP,M,29,4,BSc,STEM,4,4,1,0,0,0,1,0,1,1,4,5,5,4,3,4.18,4,4,3,5,7,5,4,5,4.82,2,2,2,2,3,4,2,3,3,2.5,2,3,1,1,2,40
R0112,UC,M,18,2,BSc,Health,4,3,0,1,0,0,0,0,1,1,4,3,4,3,3,3.14,6,4,4,7,5,6,6,7,5.22,6,2,5,3,3,4,4,6,5,4.44,3,4,4,4,4,87
R0113,UC,F,18,3,BSc,Health,4,4,1,0,1,1,1,1,0,0,3,5,1,3,4,3.51,5,6,4,5,6,5,7,6,4.35,2,3,2,2,3,4,3,3,1,2.84,5,3,2,4,2,66
R0114,IPV,F,27,1,BSc,SocSci,3,2,0,1,0,0,0,0,0,1,3,4,2,4,1,2.5,5,4,4,5,5,4,3,7,4.79,4,4,4,6,4,3,4,4,3,4.13,3,3,2,2,2,47
R0115,IPP,F,25,4,BSc,STEM,3,2,0,0,0,0,0,0,1,0,3,2,4,3,4,3.73,7,7,7,6,7,5,7,7,6.75,7,5,6,5,6,6,7,4,5,5.1,2,3,4,3,4,73
R0116,IPP,F,29,4,BSc,SocSci,3,4,1,1,0,0,0,1,1,0,5,4,3,2,4,3.7,4,5,5,4,1,4,3,5,4.36,5,4,5,6,7,4,6,6,5,5.24,2,2,3,4,2,44
R0117,IPC,M,25,3,MSc,SocSci,2,4,0,0,0,0,1,0,0,1,3,3,2,2,1,3.35,6,6,7,5,6,7,7,5,6.87,7,7,7,5,7,7,7,7,7,6.8,0,2,1,4,4,58
R0118,IPV,F,25,2,BSc,Arts,3,4,1,0,1,1,0,0,0,0,6,5,5,4,7,5.09,3,4,4,2,2,4,2,4,3.69,6,7,6,7,6,6,6,7,5,5.87,3,5,3,3,2,70
R0119,UC,F,19,2,MSc,STEM,2,4,0,0,1,0,0,1,0,0,1,3,2,2,3,2.41,4,7,7,5,6,6,6,5,5.17,4,5,6,3,3,5,4,5,3,3.88,3,3,3,0,1,36
R0120,IPP,F,25,2,BSc,SocSci,4,3,0,1,1,0,0,1,0,0,4,5,2,3,5,3.07,6,5,4,6,5,5,6,6,5.49,5,3,4,5,3,5,5,4,4,4.74,3,3,3,4,2,66
R0121,UC,F,18,2,BSc,STEM,2,5,1,1,0,0,0,1,0,1,4,6,4,6,5,4.94,6,7,7,5,7,6,5,7,5.69,6,6,6,6,4,5,5,5,5,5.81,3,3,3,3,3,72
R0122,IPC,F,26,2,BSc,STEM,3,5,1,1,0,0,1,1,0,0,6,7,7,7,7,6.74,3,4,4,2,4,4,5,5,3.26,2,4,3,3,3,3,3,2,2,2.95,3,2,1,1,1,18
R0123,UC,M,19,2,BSc,SocSci,3,4,0,0,0,0,0,0,1,0,1,2,2,3,1,2.33,3,3,4,5,3,2,4,3,3.39,6,5,3,5,6,6,6,5,4,4.89,3,3,3,3,2,56
R0124,UC,F,28,3,BSc,STEM,4,3,1,0,0,1,0,0,0,1,5,1,4,4,5,4.42,7,5,6,6,4,7,5,5,5.09,5,4,5,5,4,5,5,4,5,4.26,2,2,1,2,1,38
